GPNMB BAP1
GPR34 CARD16
ELF5 TGFB2
LILRB2 NCR2
CRMP1 DLX5
TSHB ADGRG1
PRPF8 SFPQ
BTN2A1 CARD16
ZFP36L2 CREG1
ANKRD28 USP28
KRT81 CSF1R
RNF182 IFNA5
ARL6IP5 CYB5A
RAD51D CELF2
ADRB3 APOM
TACSTD2 PA2G4
CHRM5 NDP
PCSK6 CD70
B4GALT1 FGFRL1
DHX30 GPHA2
PIM2 CREG1
CLTA C4orf27
CNTN6 ITGB7
WNT8A WDR4
CTNND1 XRCC4
EGFR TNFRSF13B
OCRL GDE1
PIP4K2C OR2D3
MAPRE1 KIF15
GZMB PDCD1
TBC1D20 CCT4
PAWR SGPL1
FOXN1 MED27
SF3B3 TCEB2
ANXA5 SERPINB2
MED1 MED27
POMC AVPR1A
CRHR1 CIITA
HMGB1 BNIP3
MAPK9 TP53I11
EYA3 RPE65
FPR2 LAMC1
CYP46A1 APLP1
DUSP15 VAMP7
TMF1 MYL12B
ZNF420 CRYAB
CEBPA POLR2D
PTCD3 CDY1B
LRP1 UBE2V2
MOG SH3GL3
ITGA11 MAGI1
GRXCR1 KRTAP5-7
KCNA3 KCNJ12
ITGA3 PPFIA2
KLRG1 MNDA
KLHL41 SMPX
CXCL8 TNFRSF8
GCG OSMR
OR14C36 ITGAX
LY96 MPL
SSRP1 WDR4
FAT1 TNC
VHL CALCOCO2
PCDHAC2 CD9
PLK1 S100B
APOF MBTPS2
CXCL10 RNASE2
GBE1 APOM
TUBA1B IGKV2D-30
GALNT9 KRTAP10-8
TNC RS1
LSM5 PTBP1
MYL1 CNPY3
IFNAR2 IFNGR2
PYCARD RPS3A
CKLF REG1B
KIF15 RBBP7
FAM109B ADD3
ADRA1D PYY
PRICKLE1 ALMS1
EFNB3 AR
KCNJ10 KCNJ12
FGF8 HOXA1
EEF1AKMT1 SLU7
ID4 NEUROD2
LPCAT3 MIA3
CLK1 ABL1
KLRC3 HOXD4
DSTYK PLA2G3
MCM3AP SPAG5
MEPE RPS6KA3
NR5A2 HCN3
UGT1A9 STX12
ASB6 ORMDL2
ANXA2 FUNDC1
IGSF6 CLEC4A
METTL10 GABARAPL2
IVNS1ABP MYO1D
ZMYND11 CREG1
ATXN3 APOBEC1
PCDHA11 CCL2
MMP9 CASP5
NUDT1 SLC5A11
IFNA2 TDP2
SNX14 EPHA10
CDK8 SCN2A
SLC7A8 DDX19B
STX1A WFIKKN1
KDM4C MMP11
ACO2 SLC25A27
TAF5L AFF4
PHKA2 SYNM
SMARCC2 TCEB1
RHOG MTCP1
HTT EI24
GALNT10 ABI1
FGFR3 SHOX
FGF4 VEGFC
DRP2 PTS
DCANP1 OR13C2
UQCC2 CDSN
CHD3 SMARCC2
WIPF1 SCGB3A2
FXYD1 SEPT9
ITGB3BP FEZ1
FGF8 EHF
ISG20 TNFRSF17
NFKBIA CGB7
HSD17B7 COL5A2
PMCH RPGRIP1L
CCL26 FPR2
MBOAT1 OR6C3
