CD2AP	0.0046675014 0.003207735 0.00030672216 0.0009512299 0.00012305449 0.00074951845 -0.00070260593 -0.0023360744 -0.0021822543 -0.0049734195 -0.0015752242 -0.004743205 0.004199941 -0.0044690883 -0.0038741145 0.0024461905 0.0031679242 0.0020183593 -0.003917449 0.0049611265 0.004242219 -0.0021062205 -0.0015061169 0.00466398 0.0034880487 0.0023223176 0.0005664104 0.0025092538 -0.00392421 -0.001225524 -0.0009518307 0.0013552661 -0.003767625 0.0025208674 0.003688516 0.0021608954 0.0027499816 0.0042250426 0.001473516 -0.0040909434 -0.0038564852 -0.0030301413 -0.0011822348 -0.003787941 -0.002884514 -0.0044709602 -0.0005273256 -0.00065502396 -0.0018604101 0.00090301555 -0.00049026025 -0.0031650877 0.0015372708 0.0014705127 0.0012764827 0.00074272347 -0.0015245761 0.001053385 -0.004033787 0.0029514038 -0.0015804777 -0.0016576255 0.0014834818 -0.0030965172 0.003296877 0.0012796994 0.0037821569 0.0018355526 0.0026903164 0.00067641266 0.0039649843 0.0033052699 -0.0022476027 -0.0010486305 0.0020877377 0.0030943484 -0.0021298146 0.004585373 -0.003975482 0.0019280557 -0.0008559413 -0.0015935032 0.0037554079 -0.0043598535 0.0042672805 -0.0016606064 0.00024622178 0.0039374568 -0.0044055567 -0.0041366694 2.8465316e-05 0.0036250763 -0.004764509 -0.0027434176 -0.004861176 -0.0015374685 -0.0007625233 -0.0005709958 -0.0042049983 -0.0013188404 
DHODH	0.00397397 -0.0028936754 0.0011622163 0.0002348354 -0.0015590643 0.00030008698 -0.0011611971 -0.0023373857 0.0012490375 -0.004208676 -0.0037507392 0.00395826 0.00021728249 0.0031267856 0.0036571785 0.0034494577 0.0035014024 -0.0042117047 -0.003882513 -0.0042831614 -0.0016183048 -0.002523458 0.0044904733 0.003866542 -0.00083759136 -0.0009394038 -0.0039095758 -0.003205661 -0.0001493461 -0.0038321547 -0.0043760072 -0.0038109988 0.0025079702 -0.0046249744 -0.0025976868 0.0036701697 -0.0025984591 -0.0024267843 2.5444082e-05 -0.0012729557 -0.0038579837 0.0009888024 -0.002916569 -0.0014345581 0.004082198 0.0035914138 -0.0019189 -0.0048674606 -0.0026552014 0.0017604972 0.004893078 -0.0046352157 0.004078419 0.0007508042 0.0045819697 -0.0026895718 -0.00064869854 -0.004090724 -0.00083785335 0.0010165974 -0.00051829516 0.0013761255 0.0033380857 -0.0020816694 0.0046314267 0.003556199 -0.0041343994 -0.0022454478 0.0014733635 -0.0016834529 -0.0010467434 -0.003136812 0.0040500816 0.00021160762 0.0016833862 -0.0007446713 -0.0014434457 -0.004617444 -0.0019039139 -0.0022241704 -0.0031356753 -0.00041829317 -0.0036150953 0.0027682565 -0.0019235596 0.002870504 0.0047759875 -0.0025614738 -0.0025083595 0.0024138498 0.0020157732 0.0033672333 -0.0003766544 -0.0034636545 0.0047722207 -0.0017885645 -0.00038110281 0.0034386406 -0.0036497593 0.0037866523 
NMS	-0.0040600733 -0.0038171213 0.0047956184 0.0016653246 0.003529747 -0.00285088 -0.0001900163 -0.003806241 -0.0028718752 -0.0045003216 0.0029249836 0.0036758548 0.0013102243 -0.0017645328 -0.0016330415 0.0020349175 0.0011168094 -0.0025988994 -0.004909454 -0.0017043888 0.003998994 -0.002540061 -0.00257129 0.0039742836 2.1455207e-05 -0.00057689275 0.00051301834 -0.004880264 -0.0018831019 0.00080514274 0.0025531722 0.0014463406 -0.0026402876 -0.0023593735 0.00012348441 -0.0019574885 0.0022062932 0.00065417873 0.0047578476 -0.002738017 0.0015910317 -0.0038614087 0.0045919577 0.0021029674 -0.0003861149 0.0046011982 0.00037440102 -0.00086904893 0.004909478 -0.0024634567 0.0049990043 0.003732774 -0.0016272104 0.0006451916 0.0006960747 -0.002725353 0.002418503 -6.969622e-05 0.0040594474 -0.0026284442 -0.0010105133 0.00010778574 0.0043563303 -0.0038340373 0.0036289766 0.0019178062 -0.0025246204 0.0036338032 -0.0028512655 0.00033934784 -0.0033683477 0.0009448358 0.0035028982 -0.0029140916 -0.0038682695 3.6672012e-05 -0.0046114144 -0.00477085 -0.004546967 0.0028517132 0.00092855137 0.0020641098 0.002366907 0.0036680608 -0.0031829386 -0.0031150249 0.00019047123 -0.0021823812 0.0020503618 -0.0018020574 0.0024961426 -0.0007543475 -0.0038158777 0.001958522 -0.0030660082 0.004087059 -0.0045300378 0.0042181974 0.00467908 0.0008431217 
ZDHHC22	-0.0032465223 -0.0022145896 -0.0040417416 0.0037861497 -0.0018491927 -0.0010326789 0.00025237782 -0.0014116009 -0.0011953316 -0.004741446 0.0044666827 0.004096262 0.0026672294 0.0035249535 -0.004121877 0.0047787754 -0.0011512933 -0.0018947537 0.00020782906 0.0033181733 0.0031377093 -0.0028425374 -0.001737475 -0.0033251054 -0.0015376204 -8.02815e-05 -0.004055771 0.0038510268 -0.0031269498 0.0034706218 -0.00016093369 -0.0034185268 0.0034923789 -0.0028984537 0.0013193097 -0.0041251043 0.0029254567 -0.0012339018 -0.001203367 0.0043075974 -0.0022686818 -0.001496173 -0.004717262 0.00042808586 0.003270933 0.00052604027 0.0036982407 -0.0042944336 0.0034022261 0.0038628292 0.0033136243 -0.001658864 -0.0030603746 -0.0017251759 -0.0039242906 0.0032246849 -0.0026253795 0.00064625207 -0.0028831877 -0.0009001414 0.0010316112 -0.0012732827 -0.002395907 0.004600066 0.0008943606 -0.00025167878 -0.0020548461 0.0020628916 0.0007105854 0.0028074216 -0.0024305668 0.0024699045 -0.0015576544 0.0038211818 0.0024592187 -0.0032964635 0.0041607246 0.004422513 0.0009685459 -0.0019441494 0.0037621607 -0.0017064015 0.002047856 -0.002983646 0.0031680088 0.0035836978 -0.0007800495 -0.000132572 0.0029887317 -0.0028563628 -0.0023609158 -0.0017283534 0.0038708795 -0.002590476 0.0021160056 -0.0044139335 -0.00025017263 -0.0016476153 0.003998896 0.003463763 
NCR3	0.0036685858 0.0037214821 -0.0027803874 0.000514126 0.0031768943 -0.00420351 -0.0014271348 -0.0031926897 0.0033872803 -0.0015362811 0.0034489834 0.0013707088 0.0022300512 0.00390687 0.00030105613 0.0021413548 -0.002327843 0.003632392 -0.0014402359 0.0035015899 -0.002744771 -0.0038874852 0.00017077736 -0.0025783062 -0.0042518945 -0.004948325 -0.00034490353 -0.0047452855 -0.0034672553 -0.000101177335 -0.0022687758 -0.0009624929 -0.00394123 -0.00050541665 -0.0007500088 -0.0023326566 0.0025086373 0.0021553715 -0.0036633306 -0.0024139655 -0.004966998 -0.004985214 -0.0016172432 0.0021620458 -0.0013786099 -0.0042922446 -0.0010720777 -0.0045184246 0.003712879 0.003741444 0.00011605373 0.0018090254 -0.0010799599 0.0026315686 -0.0028958619 0.0035831747 -0.0025949946 0.0006476951 0.0009428724 0.0037228563 -0.003546205 0.0018819624 0.0016876193 -0.0013415908 0.0013976038 0.0024653336 0.0049937326 0.0029883387 -0.0031821218 -0.0047116713 -0.002133401 -8.4194835e-06 -0.00204381 -0.0042469376 -0.0017720044 0.0019735654 0.0043355054 0.0010381838 0.0025099744 -0.003861328 0.00075624534 0.00070076616 -0.0032029075 0.0020595593 0.0042418595 0.0004253385 -0.0037083703 0.0042278166 0.0022399453 -0.0016354822 -0.0040732324 0.0031256306 0.0037764916 -0.0039173104 0.0040091504 0.00434238 0.0020149269 -0.0012914233 0.0017628869 0.00023361047 
DARS	-0.0020327042 0.0048474274 -0.004672356 -0.0040198886 -0.0024186661 -0.00044640494 0.00048117284 0.0012740128 0.0033505813 0.003243814 -0.0038533325 -0.0045690727 -0.0028762107 -0.001294705 -0.0047372626 0.0023917493 0.0045980127 0.0004359811 0.0002693701 0.00042363073 -0.0041488116 -0.0026367619 -0.0030956878 0.003360151 -0.0028368263 -0.001861561 0.004702916 -0.0043764943 0.00072451786 -0.0011083989 -0.00021978676 0.0022119887 -0.0020177055 -0.00020601759 -0.00020118455 -0.0048399083 -0.00022347365 -0.0014991194 0.00498758 -0.0030632191 0.0033663881 0.0025414166 0.0025518304 -0.0040457575 0.0049177166 0.0021444322 -0.0018373322 -0.0030047765 0.0037976312 0.004139699 0.0016117007 0.0011793183 0.002145857 0.0018746924 0.0015651656 0.0035454729 -0.002097965 0.0028346619 0.0048218938 0.004275003 0.002459397 -0.00336399 -0.003207225 -0.0018553677 -0.0007973614 -0.0027921193 -0.0045623807 -0.00119596 -0.003688076 9.157719e-05 0.0022398434 0.0006756017 0.0022641264 0.0019608596 0.0022291292 0.0014248677 0.0045984024 -0.004599991 -0.004938144 0.0006470182 -0.00037939593 -0.0041620852 -0.0032921066 -0.004313103 -0.004218692 0.0029233375 4.2461474e-05 -0.000739008 0.0003440647 0.00030094787 0.0014051929 0.0016486506 -0.0023947202 0.0012477017 0.0010784419 0.003346908 0.0033859191 -0.003955335 -0.0036774965 0.004577241 
MLLT1	-0.0019135827 -0.0012387282 -0.0014072802 -0.002114501 0.0047539873 -0.0005525095 0.0008057642 -0.0013480709 -0.0041646766 -0.00018800437 -0.0033586002 -6.612813e-05 0.0027653205 0.001509912 -0.0032394077 0.0012502011 -0.004038883 -0.00014767819 -0.0041687014 0.003377031 0.0041585043 0.0015649729 0.00065066904 0.0033539317 -0.0034390325 0.0049018585 -0.004839994 0.00044051604 -0.0028814971 -0.0042012474 -0.003487475 -0.003836638 0.003378349 -0.0031834855 0.003986278 0.0024395264 -0.003890583 0.003429569 0.0018933438 0.0046896436 -0.0035448843 -0.0036831305 -0.0010124187 -0.0012988832 0.0028682738 0.004107454 -0.0036519512 -0.0020951773 0.0018009463 0.002283552 0.0013523567 -0.002464834 -0.0007781144 -0.0036858295 -0.0002592565 -0.0034244293 0.0023025337 0.0013072176 0.0044633686 -0.0014528066 -0.0016594223 -0.0021917066 -0.004409077 0.0010445925 -0.0043603266 0.004760507 -0.0030638105 -0.004548892 -0.0003856666 7.824442e-05 -0.0025764192 0.00053180195 -0.003998358 0.0029028093 -0.0044526225 0.0009080312 0.0042751017 0.004634943 -0.0010547051 0.003079633 -0.0010630823 0.004589237 0.00016104181 0.0016323385 0.0005104956 -0.0012284875 0.0011304662 0.0009992277 -0.0046654725 0.004658231 0.0016391174 0.0041110744 -0.0027400611 -0.0009334813 -0.0030188505 -0.004798183 0.0023751906 -0.0007158984 -0.00093950995 -0.0017120404 
ETV7	0.0038651072 -0.004136065 -0.0036297496 -0.002616105 -0.0024535623 0.0018665402 0.0032643143 -0.0048511326 -0.0034951787 0.00084485475 -0.0002280223 -0.0012995324 -0.003754004 -0.003436903 0.0023834913 -0.004371649 -0.0032017173 -0.0032997406 0.0036810208 -0.0026118504 -0.002512633 0.00050882605 0.003711 -0.0035617808 0.0014887007 -0.00067696476 0.002288599 0.0017696269 0.0035941168 -0.0005598953 -0.0007260432 -0.0015534007 0.0011702356 0.0009101801 0.0022207948 -0.003193831 -0.0026502705 -0.0025339716 0.0036523738 -0.0015221803 0.0038703275 0.0036866555 0.0017115809 0.0011594571 -0.0014160593 0.0041253855 0.0025272872 -0.0012229211 -0.00052047544 0.0002728477 0.00087988476 -0.0028913375 -0.0028051515 0.0032246609 0.0017232631 -0.003506415 -0.0026428897 -0.0027618522 -0.0021744005 0.001691615 0.0049818614 -0.0023961172 -0.0003760221 -0.0010300482 0.0005708751 -0.0020346488 -0.0046844436 0.0027652753 -0.0011150425 -0.0033446134 0.0020538846 0.0027324136 0.0011346776 -0.0017901395 -0.004435963 0.0022839322 0.0039495537 -0.004519134 0.0010859976 0.002896828 -0.0030973875 0.0043145204 0.004075487 -0.004708333 0.0025627157 -0.0006146302 -0.004817543 0.004671572 -0.0018551355 -0.0037050548 0.004161508 0.004867692 0.0037241315 0.0034564976 0.0004492964 -0.00061944773 0.003132031 0.002875926 -0.00205089 -0.00296195 
EID2	-9.60904e-05 -0.00425188 0.0038740742 0.004321754 -0.001159021 0.0041896226 9.413706e-05 -0.0034808207 0.0005145756 -0.001681269 -0.0032022959 0.0036727455 -0.0015740283 0.003382109 0.002493712 0.0046221297 0.0012569501 -0.0037017993 -0.004185642 -0.002334847 0.0021080335 0.004033919 -0.0008989912 -0.003394137 0.004449664 -0.002027533 -0.0034310825 0.0036477158 0.0038367445 0.002199214 0.0036304093 0.0024268292 0.0027257956 0.0017299734 -0.0011325602 -0.004535672 -0.0033703288 0.0018726104 -0.002896263 0.00038662762 -0.0021538176 0.0030981593 -0.00092437596 0.002564314 0.0040088864 -0.0011400848 -0.0013906568 0.0040989555 -0.0032876222 0.0004186908 -0.00413458 0.0008767656 0.0004847163 -0.0012356346 0.003917802 -0.0018325952 -0.0027918955 -0.0002085383 -0.0043651527 0.0032068125 7.8036144e-05 0.0025489673 -0.0005694696 0.0026950033 0.0033869133 0.00322087 0.0021013755 0.0017784501 -0.0013490095 0.000512014 -0.0015041004 -0.0040087667 0.0013688004 0.0012277552 0.0048711495 -0.003186109 -0.0012302705 0.00041714392 -0.002606558 -0.004783376 0.0007377398 0.0037727582 0.0013011151 0.00051346846 -0.0010221478 0.004450046 0.0021958556 0.004250511 -0.0038119894 -0.0049049454 2.949373e-05 0.0049104085 -0.0030268296 -0.0037917786 -2.5418536e-05 -0.00499135 0.0034171098 -0.0011884645 -0.00065825623 0.003972762 
GCLC	0.000742786 0.00053179724 -0.00438329 0.0038112318 -0.003030401 -0.000154172 -0.0020632818 -0.0027294247 0.0017030422 -0.0016979056 0.0023010685 -0.000503203 -0.0038858952 0.00128073 0.0028373862 0.00042571485 -0.0026880652 0.002323503 -0.00029990126 0.001192025 -0.003993323 0.0036736105 0.00040936947 0.004924862 0.004831996 0.0040707877 -0.0037863962 -0.0002758065 -0.0009728882 -0.0030860186 -0.0002753542 0.0027497348 -0.0026166935 0.0010837198 -0.0048690415 -0.0020145366 -0.0041344776 0.0036372181 0.0033297972 0.0037401454 -0.0037875534 0.0018162153 -9.2531045e-06 0.0007131974 -0.00086904754 -0.0041249804 0.0022460143 -0.0025401455 -0.004782059 -0.0019779506 0.0010206966 0.0033133284 0.0030017456 0.0010347805 0.00051839504 3.5418536e-05 -0.0049108365 0.0006329721 0.0023719054 -0.0039331825 0.003200698 0.0047681043 -0.0045483275 0.0047814664 -0.00014619778 -0.0009936885 -0.0039885393 0.0033525499 -0.00468911 -0.004295132 0.0009215258 0.0011799566 -0.004900646 -0.0031162372 0.00478928 0.001832203 0.003185096 -0.000115916475 -0.0046673003 -0.0043155104 0.0043107267 -0.00023585434 0.0047414326 0.0026070743 0.0005382063 0.0019633274 -0.0024782035 -0.0046408293 -0.003749609 0.002787398 0.0021251019 0.0033332577 -0.0025013834 -0.002102244 -0.004754551 -0.002191151 0.0017072305 0.0006863026 -0.0027377405 -0.0038602191 
